text,commands
supprime la apples.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
élimine la banane.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
supprime la carrots.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
détruis la pumpkin.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
élimine la sprays.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
efface les fruits.,"[{'command': 'SelectCommand', 'parameter': 'sven:Fruit'}, {'command': 'DestroyCommand'}]"
détruis les légumes.,"[{'command': 'SelectCommand', 'parameter': 'sven:Vegetable'}, {'command': 'DestroyCommand'}]"
efface les food.,"[{'command': 'SelectCommand', 'parameter': 'sven:Food'}, {'command': 'DestroyCommand'}]"
dissimule la pommes.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'HideCommand'}]"
affiche la pomme.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ShowCommand'}]"
dissimule la banana.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'HideCommand'}]"
montre la banana.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ShowCommand'}]"
cache la carrot.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'HideCommand'}]"
révèle la carottes.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ShowCommand'}]"
cache la pumpkin.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'HideCommand'}]"
affiche la pumpkins.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ShowCommand'}]"
cache la spray.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'HideCommand'}]"
montre la spray.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ShowCommand'}]"
agrandis la pommes.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleUpCommand'}]"
réduis la pommes.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleDownCommand'}]"
agrandis la banana.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleUpCommand'}]"
rétrécis la banana.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleDownCommand'}]"
grossis la carottes.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleUpCommand'}]"
réduis la carrots.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleDownCommand'}]"
élargis la citrouille.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleUpCommand'}]"
réduis la pumpkins.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleDownCommand'}]"
augmente la sprays.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleUpCommand'}]"
rétrécis la spray.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleDownCommand'}]"
déplace la apples ici.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'MoveCommand', 'parameter': 'Pointer'}]"
transporte la pomme vers ma vision.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'MoveCommand', 'parameter': 'PointOfView'}]"
déplace la banana ici.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'MoveCommand', 'parameter': 'Pointer'}]"
amène la banana vers ma vision.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'MoveCommand', 'parameter': 'PointOfView'}]"
amène la carrot ici.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'MoveCommand', 'parameter': 'Pointer'}]"
transporte la carottes vers ma vision.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'MoveCommand', 'parameter': 'PointOfView'}]"
amène la pumpkin ici.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'MoveCommand', 'parameter': 'Pointer'}]"
bouge la citrouilles vers ma vision.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'MoveCommand', 'parameter': 'PointOfView'}]"
amène la spray ici.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'MoveCommand', 'parameter': 'Pointer'}]"
amène la sprays vers ma vision.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'MoveCommand', 'parameter': 'PointOfView'}]"
choisis la pommes pink.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'SelectCommand', 'parameter': 'Pink'}]"
sélectionne la banana bleu.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'SelectCommand', 'parameter': 'Blue'}]"
prends la carrot bleu.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'SelectCommand', 'parameter': 'Blue'}]"
sélectionne la pumpkins yellow.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'SelectCommand', 'parameter': 'Yellow'}]"
choisis la sprays rouge.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'SelectCommand', 'parameter': 'Red'}]"
déchoisis tout.,"[{'command': 'UnselectCommand', 'parameter': 'All'}]"
save la scène.,"[{'command': 'EventCommand', 'parameter': 'SaveAndQuitGraph'}]"
pause.,"[{'command': 'EventCommand', 'parameter': 'Pause'}]"
spawn un pommes pink.,"[{'command': 'CreateCommand', 'parameter': 'sven:Apple'}, {'command': 'ColorizeCommand', 'parameter': 'Pink'}]"
spawn un banana rose.,"[{'command': 'CreateCommand', 'parameter': 'sven:Banana'}, {'command': 'ColorizeCommand', 'parameter': 'Pink'}]"
crée une carrots green.,"[{'command': 'CreateCommand', 'parameter': 'sven:Carrot'}, {'command': 'ColorizeCommand', 'parameter': 'Green'}]"
fabrique une pumpkins jaune.,"[{'command': 'CreateCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'ColorizeCommand', 'parameter': 'Yellow'}]"
spawn une sprays yellow.,"[{'command': 'CreateCommand', 'parameter': 'sven:Spray'}, {'command': 'ColorizeCommand', 'parameter': 'Yellow'}]"
supprime la pomme.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
élimine la banana.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
détruis la carrot.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
élimine la citrouilles.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
détruis la sprays.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
efface les fruit.,"[{'command': 'SelectCommand', 'parameter': 'sven:Fruit'}, {'command': 'DestroyCommand'}]"
élimine les vegetable.,"[{'command': 'SelectCommand', 'parameter': 'sven:Vegetable'}, {'command': 'DestroyCommand'}]"
élimine les nourriture.,"[{'command': 'SelectCommand', 'parameter': 'sven:Food'}, {'command': 'DestroyCommand'}]"
dissimule la pomme.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'HideCommand'}]"
affiche la pommes.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ShowCommand'}]"
cache la banane.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'HideCommand'}]"
affiche la bananes.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ShowCommand'}]"
dissimule la carottes.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'HideCommand'}]"
affiche la carrots.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ShowCommand'}]"
masque la citrouilles.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'HideCommand'}]"
affiche la citrouille.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ShowCommand'}]"
cache la sprays.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'HideCommand'}]"
révèle la sprays.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ShowCommand'}]"
grossis la pomme.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleUpCommand'}]"
diminue la apples.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleDownCommand'}]"
élargis la bananas.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleUpCommand'}]"
rétrécis la banane.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleDownCommand'}]"
élargis la carrots.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleUpCommand'}]"
diminue la carrot.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleDownCommand'}]"
grossis la pumpkins.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleUpCommand'}]"
rétrécis la citrouilles.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleDownCommand'}]"
grossis la spray.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleUpCommand'}]"
rétrécis la spray.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'ScaleDownCommand'}]"
bouge la pomme ici.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'MoveCommand', 'parameter': 'Pointer'}]"
amène la pomme vers ma vision.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'MoveCommand', 'parameter': 'PointOfView'}]"
déplace la bananas ici.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'MoveCommand', 'parameter': 'Pointer'}]"
transporte la banane vers ma vision.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'MoveCommand', 'parameter': 'PointOfView'}]"
déplace la carottes ici.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'MoveCommand', 'parameter': 'Pointer'}]"
amène la carrot vers ma vision.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'MoveCommand', 'parameter': 'PointOfView'}]"
bouge la pumpkin ici.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'MoveCommand', 'parameter': 'Pointer'}]"
déplace la pumpkin vers ma vision.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'MoveCommand', 'parameter': 'PointOfView'}]"
transporte la spray ici.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'MoveCommand', 'parameter': 'Pointer'}]"
déplace la sprays vers ma vision.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'MoveCommand', 'parameter': 'PointOfView'}]"
choisis la pommes verte.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'SelectCommand', 'parameter': 'Green'}]"
prends la bananas verte.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'SelectCommand', 'parameter': 'Green'}]"
sélectionne la carrots rose.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'SelectCommand', 'parameter': 'Pink'}]"
sélectionne la pumpkin jaune.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'SelectCommand', 'parameter': 'Yellow'}]"
prends la spray jaune.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'SelectCommand', 'parameter': 'Yellow'}]"
désélectionne tout.,"[{'command': 'UnselectCommand', 'parameter': 'All'}]"
enregistre la scène.,"[{'command': 'EventCommand', 'parameter': 'SaveAndQuitGraph'}]"
pause.,"[{'command': 'EventCommand', 'parameter': 'Pause'}]"
spawn une apples pink.,"[{'command': 'CreateCommand', 'parameter': 'sven:Apple'}, {'command': 'ColorizeCommand', 'parameter': 'Pink'}]"
ajoute une bananas bleu.,"[{'command': 'CreateCommand', 'parameter': 'sven:Banana'}, {'command': 'ColorizeCommand', 'parameter': 'Blue'}]"
spawn une carrot rouge.,"[{'command': 'CreateCommand', 'parameter': 'sven:Carrot'}, {'command': 'ColorizeCommand', 'parameter': 'Red'}]"
génère un citrouilles teal.,"[{'command': 'CreateCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'ColorizeCommand', 'parameter': 'Cyan'}]"
fais apparaître une spray vert.,"[{'command': 'CreateCommand', 'parameter': 'sven:Spray'}, {'command': 'ColorizeCommand', 'parameter': 'Green'}]"
détruis la apple.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
détruis la banane.,"[{'command': 'SelectCommand', 'parameter': 'sven:Banana'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
supprime la carottes.,"[{'command': 'SelectCommand', 'parameter': 'sven:Carrot'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
élimine la pumpkins.,"[{'command': 'SelectCommand', 'parameter': 'sven:Pumpkin'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
supprime la sprays.,"[{'command': 'SelectCommand', 'parameter': 'sven:Spray'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'DestroyCommand'}]"
détruis les fruit.,"[{'command': 'SelectCommand', 'parameter': 'sven:Fruit'}, {'command': 'DestroyCommand'}]"
supprime les légume.,"[{'command': 'SelectCommand', 'parameter': 'sven:Vegetable'}, {'command': 'DestroyCommand'}]"
élimine les food.,"[{'command': 'SelectCommand', 'parameter': 'sven:Food'}, {'command': 'DestroyCommand'}]"
cache la pommes.,"[{'command': 'SelectCommand', 'parameter': 'sven:Apple'}, {'command': 'SelectCommand', 'parameter': 'Pointer'}, {'command': 'HideCommand'}]"
